strain	date	data_source	sample_source	region	location	lineage	age
KF686741.1	2002-XX-XX	GenBank	Lorenzi	South-America	Argentina	A2.1	NA
KF686742.1	2002-XX-XX	GenBank	Lorenzi	South-America	Argentina	A2.1	NA
KF686743.1	2002-XX-XX	GenBank	Lorenzi	South-America	Argentina	A1	NA
KF530161.1	2002-XX-XX	GenBank	Lorenzi	South-America	Argentina	NA	NA
MG773272.1	2016-07-04	GenBank	Goya	South-America	Argentina	B1	NA
KF530166.1	2002-XX-XX	GenBank	Lorenzi	South-America	Argentina	A2.1	NA
KF530183.1	2002-XX-XX	GenBank	Lorenzi	South-America	Argentina	A1	NA
KY474529.1	2016-03-15	GenBank	Dehority	North-America	Arkansas(USA)	A2.2.1	NA
KY474530.1	2016-05-31	GenBank	Dehority	North-America	Arkansas(USA)	A2.2.1	NA
KF530155.1	2003-06-13	GenBank	Lorenzi	Oceania	Australia	B2	NA
KF530163.1	2004-07-06	GenBank	Lorenzi	Oceania	Australia	B1	NA
KF530164.1	2004-08-19	GenBank	Lorenzi	Oceania	Australia	B1	NA
KF530158.1	2004-08-30	GenBank	Lorenzi	Oceania	Australia	B1	NA
KF530165.1	2004-09-01	GenBank	Lorenzi	Oceania	Australia	B1	NA
KF530160.1	2004-09-02	GenBank	Lorenzi	Oceania	Australia	B1	NA
KF530162.1	2004-09-13	GenBank	Lorenzi	Oceania	Australia	NA	NA
OP904065.1	2013-04-11	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904053.1	2013-05-02	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904064.1	2013-06-12	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904061.1	2013-06-20	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904054.1	2013-06-26	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904056.1	2013-07-01	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904066.1	2013-07-02	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904060.1	2013-07-11	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904051.1	2013-07-23	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904055.1	2013-08-11	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904109.1	2013-08-11	GenBank	Tulloch	Oceania	Australia	B1	NA
MW221987.1	2013-08-26	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904063.1	2013-09-08	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904058.1	2013-09-11	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904059.1	2013-09-20	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904111.1	2013-09-21	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904052.1	2013-10-14	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904062.1	2013-10-15	GenBank	Tulloch	Oceania	Australia	A2.2.1	NA
OP904068.1	2016-04-08	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904139.1	2016-05-27	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904047.1	2016-06-18	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904072.1	2016-06-21	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904074.1	2016-06-26	GenBank	Tulloch	Oceania	Australia	B1	NA
